#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AATF	UTP6	9606.ENSP00000477848	9606.ENSP00000261708	0	0	0	0	0.771	0.991	0	0.207	0.998
AATF	RRP7A	9606.ENSP00000477848	9606.ENSP00000321449	0	0	0	0	0.437	0.991	0	0.236	0.995
AATF	NOC4L	9606.ENSP00000477848	9606.ENSP00000328854	0	0	0	0	0.435	0.991	0	0	0.994
ABRAXAS1	BARD1	9606.ENSP00000369857	9606.ENSP00000260947	0	0	0	0	0.042	0.994	0.900	0.993	0.999
ACER3	ASAH2	9606.ENSP00000434480	9606.ENSP00000378897	0	0	0	0	0	0.071	0.900	0.816	0.981
ADCY9	KCNQ1	9606.ENSP00000294016	9606.ENSP00000155840	0	0	0	0	0	0.051	0.900	0.518	0.950
AFMID	KYAT3	9606.ENSP00000328938	9606.ENSP00000260508	0	0	0	0	0.060	0	0.900	0.654	0.964
AFMID	KYNU	9606.ENSP00000328938	9606.ENSP00000264170	0.095	0	0	0	0.124	0	0.938	0.788	0.988
AHCTF1	RANBP2	9606.ENSP00000355465	9606.ENSP00000283195	0	0	0	0	0.403	0.867	0	0.915	0.992
AHCTF1	NUP93	9606.ENSP00000355465	9606.ENSP00000310668	0	0	0	0	0.067	0.884	0.500	0.835	0.989
AHNAK	PRX	9606.ENSP00000367263	9606.ENSP00000326018	0	0	0	0.578	0.062	0.080	0	0.938	0.941
AHNAK	S100A10	9606.ENSP00000367263	9606.ENSP00000357801	0	0	0	0	0.215	0.966	0.900	0.972	0.999
AKIRIN2	PSMB3	9606.ENSP00000257787	9606.ENSP00000483688	0	0	0	0	0.056	0.915	0	0	0.917
AKR1D1	HSD3B7	9606.ENSP00000242375	9606.ENSP00000297679	0	0	0	0	0.067	0	0.900	0.956	0.995
ALDH3B1	ALDH3B2	9606.ENSP00000473990	9606.ENSP00000501254	0	0	0.050	0.981	0.049	0.592	0.900	0.059	0.959
ALDH3B2	ALDH3B1	9606.ENSP00000501254	9606.ENSP00000473990	0	0	0.050	0.981	0.049	0.592	0.900	0.059	0.959
ANPEP	GCLC	9606.ENSP00000300060	9606.ENSP00000497574	0	0	0	0	0	0	0.914	0.224	0.930
ANPEP	GGT7	9606.ENSP00000300060	9606.ENSP00000338964	0	0	0	0	0	0	0.914	0.436	0.949
ARIH2	RNF7	9606.ENSP00000348769	9606.ENSP00000273480	0	0	0	0	0.067	0.900	0	0.856	0.985
ASAH2	SMPD2	9606.ENSP00000378897	9606.ENSP00000258052	0	0	0	0	0	0	0.650	0.746	0.907
ASAH2	SGMS2	9606.ENSP00000378897	9606.ENSP00000378176	0	0.109	0	0	0	0	0.900	0.541	0.955
ASAH2	ACER3	9606.ENSP00000378897	9606.ENSP00000434480	0	0	0	0	0	0.071	0.900	0.816	0.981
ASRGL1	GOT1	9606.ENSP00000400057	9606.ENSP00000359539	0	0	0	0	0.097	0	0.911	0.171	0.927
ATF7	JUND	9606.ENSP00000399465	9606.ENSP00000252818	0	0	0	0.600	0.060	0.428	0	0.851	0.912
ATF7	FOS	9606.ENSP00000399465	9606.ENSP00000306245	0	0	0	0	0	0.827	0	0.906	0.983
ATG4B	MAP1LC3B	9606.ENSP00000384259	9606.ENSP00000498476	0	0	0	0	0.255	0.987	0.400	0.948	0.999
ATP1B2	PRKG2	9606.ENSP00000250111	9606.ENSP00000264399	0	0	0	0	0.055	0	0.900	0	0.901
ATXN1L	RBPJ	9606.ENSP00000415822	9606.ENSP00000345206	0	0	0	0	0.042	0.370	0.900	0.480	0.964
ATXN2L	LSM12	9606.ENSP00000378917	9606.ENSP00000466718	0	0	0	0	0.085	0.972	0	0.508	0.986
B3GALNT2	POMK	9606.ENSP00000355559	9606.ENSP00000331258	0	0	0	0	0.048	0	0.900	0.881	0.987
BARD1	ABRAXAS1	9606.ENSP00000260947	9606.ENSP00000369857	0	0	0	0	0.042	0.994	0.900	0.993	0.999
BLOC1S6	HPS5	9606.ENSP00000456851	9606.ENSP00000265967	0	0	0	0	0.055	0	0.720	0.953	0.986
BLOC1S6	HPS3	9606.ENSP00000456851	9606.ENSP00000296051	0	0	0	0	0.043	0	0.720	0.938	0.982
C9orf47	GNA13	9606.ENSP00000365006	9606.ENSP00000400717	0	0	0	0	0	0.125	0.900	0.890	0.989
CAMKK1	CAMKK2	9606.ENSP00000371188	9606.ENSP00000312741	0	0	0.064	0.953	0.073	0	0.900	0.068	0.908
CAMKK2	CAMKK1	9606.ENSP00000312741	9606.ENSP00000371188	0	0	0.064	0.953	0.073	0	0.900	0.068	0.908
CAMKK2	STK11	9606.ENSP00000312741	9606.ENSP00000324856	0	0	0	0.699	0.092	0.187	0.900	0.330	0.944
CAMSAP1	TUBA1B	9606.ENSP00000374183	9606.ENSP00000336799	0	0	0	0	0.047	0.900	0	0.103	0.907
CCL3L3	CCL4L2	9606.ENSP00000480558	9606.ENSP00000483330	0	0	0	0.894	0.914	0	0	0.532	0.958
CCL4L2	CCL3L3	9606.ENSP00000483330	9606.ENSP00000480558	0	0	0	0.894	0.914	0	0	0.532	0.958
CD44	CD74	9606.ENSP00000398632	9606.ENSP00000009530	0	0	0	0	0.111	0.541	0.720	0.992	0.999
CD44	IQGAP1	9606.ENSP00000398632	9606.ENSP00000268182	0	0	0	0	0.201	0.292	0.900	0.814	0.988
CD44	PKM	9606.ENSP00000398632	9606.ENSP00000320171	0	0	0	0	0.080	0	0	0.964	0.965
CD44	SDC1	9606.ENSP00000398632	9606.ENSP00000370542	0	0	0	0	0	0	0	0.927	0.927
CD44	LAMB3	9606.ENSP00000398632	9606.ENSP00000375778	0	0	0	0	0.113	0	0.900	0.220	0.924
CD74	EIF5B	9606.ENSP00000009530	9606.ENSP00000289371	0	0	0	0	0.546	0.755	0	0.240	0.908
CD74	RPL31	9606.ENSP00000009530	9606.ENSP00000386717	0	0	0	0	0.830	0.840	0	0.260	0.978
CD74	HLA-DMB	9606.ENSP00000009530	9606.ENSP00000398890	0	0	0	0	0.599	0.179	0.900	0.544	0.982
CD74	CTSL	9606.ENSP00000009530	9606.ENSP00000345344	0	0	0	0	0.111	0.900	0.900	0.327	0.993
CD74	HLA-DMA	9606.ENSP00000009530	9606.ENSP00000363976	0	0	0	0	0.715	0.405	0.900	0.720	0.994
CD74	CD44	9606.ENSP00000009530	9606.ENSP00000398632	0	0	0	0	0.111	0.541	0.720	0.992	0.999
CDC20	KIF2C	9606.ENSP00000361540	9606.ENSP00000361298	0	0	0	0	0.908	0	0.800	0.787	0.995
CDH5	CTNNA1	9606.ENSP00000497290	9606.ENSP00000304669	0	0	0	0	0	0.731	0.800	0.527	0.972
CDH5	CTNNB1	9606.ENSP00000497290	9606.ENSP00000495360	0	0	0	0	0	0.886	0.900	0.995	0.999
CDYL	MIER1	9606.ENSP00000380718	9606.ENSP00000383820	0	0	0	0	0.063	0.808	0	0.659	0.933
CEP19	FGFR1OP	9606.ENSP00000387209	9606.ENSP00000355812	0	0	0	0	0.043	0.832	0	0.730	0.952
CHRAC1	POLA2	9606.ENSP00000220913	9606.ENSP00000265465	0	0	0	0	0.067	0	0.900	0.218	0.920
CHRAC1	SMARCA5	9606.ENSP00000220913	9606.ENSP00000283131	0	0	0	0	0.067	0.878	0.540	0.963	0.997
CHRNA5	CHRNB4	9606.ENSP00000299565	9606.ENSP00000261751	0	0	0.076	0.913	0.077	0.212	0.800	0.491	0.919
CHRNB4	CHRNA5	9606.ENSP00000261751	9606.ENSP00000299565	0	0	0.076	0.913	0.077	0.212	0.800	0.491	0.919
CREB5	EP300	9606.ENSP00000350359	9606.ENSP00000263253	0	0	0	0	0.089	0.045	0.900	0.233	0.924
CSNK1D	YWHAH	9606.ENSP00000381531	9606.ENSP00000248975	0	0	0	0	0.043	0.159	0.900	0.082	0.916
CSNK1D	PER1	9606.ENSP00000381531	9606.ENSP00000314420	0	0	0	0	0.059	0.758	0.900	0.380	0.984
CSNK1D	YWHAZ	9606.ENSP00000381531	9606.ENSP00000379287	0	0	0	0	0.064	0.317	0.900	0.142	0.937
CSTB	CTSL	9606.ENSP00000291568	9606.ENSP00000345344	0	0	0	0	0.128	0.576	0	0.886	0.954
CTNNA1	YWHAH	9606.ENSP00000304669	9606.ENSP00000248975	0	0	0	0	0.102	0	0.900	0.214	0.923
CTNNA1	YWHAZ	9606.ENSP00000304669	9606.ENSP00000379287	0	0	0	0	0.067	0	0.900	0.154	0.914
CTNNA1	CDH5	9606.ENSP00000304669	9606.ENSP00000497290	0	0	0	0	0	0.731	0.800	0.527	0.972
CTNNA1	CTNNB1	9606.ENSP00000304669	9606.ENSP00000495360	0	0	0	0	0.138	0.965	0.900	0.996	0.999
CTNNB1	EP300	9606.ENSP00000495360	9606.ENSP00000263253	0	0	0	0	0.049	0.899	0.900	0.992	0.999
CTNNB1	IQGAP1	9606.ENSP00000495360	9606.ENSP00000268182	0	0	0	0	0.131	0.662	0.900	0.994	0.999
CTNNB1	FZD1	9606.ENSP00000495360	9606.ENSP00000287934	0	0	0	0	0.042	0.065	0.540	0.815	0.913
CTNNB1	CTNNA1	9606.ENSP00000495360	9606.ENSP00000304669	0	0	0	0	0.138	0.965	0.900	0.996	0.999
CTNNB1	PKM	9606.ENSP00000495360	9606.ENSP00000320171	0.054	0	0	0	0.062	0.662	0	0.990	0.996
CTNNB1	RBPJ	9606.ENSP00000495360	9606.ENSP00000345206	0	0	0	0	0.099	0.073	0.500	0.939	0.971
CTNNB1	KLF4	9606.ENSP00000495360	9606.ENSP00000363804	0	0	0	0	0	0.091	0.098	0.990	0.991
CTNNB1	LRRFIP1	9606.ENSP00000495360	9606.ENSP00000375857	0	0	0	0	0.047	0	0.700	0.908	0.971
CTNNB1	YWHAZ	9606.ENSP00000495360	9606.ENSP00000379287	0	0	0	0	0.119	0.665	0.800	0.898	0.993
CTNNB1	CDH5	9606.ENSP00000495360	9606.ENSP00000497290	0	0	0	0	0	0.886	0.900	0.995	0.999
CTSL	CD74	9606.ENSP00000345344	9606.ENSP00000009530	0	0	0	0	0.111	0.900	0.900	0.327	0.993
CTSL	CSTB	9606.ENSP00000345344	9606.ENSP00000291568	0	0	0	0	0.128	0.576	0	0.886	0.954
CTTNBP2NL	STK24	9606.ENSP00000271277	9606.ENSP00000365730	0	0	0	0	0.042	0.994	0	0.666	0.997
DCAF11	DDB1	9606.ENSP00000415556	9606.ENSP00000301764	0	0	0	0	0.072	0.884	0.900	0.997	0.999
DCP1A	XRN1	9606.ENSP00000476386	9606.ENSP00000264951	0	0	0	0	0.072	0.920	0.800	0.984	0.999
DCP1A	PATL1	9606.ENSP00000476386	9606.ENSP00000300146	0	0	0	0	0.080	0.995	0.400	0.792	0.999
DCP1A	LSM4	9606.ENSP00000476386	9606.ENSP00000469468	0	0	0	0	0.119	0.293	0.400	0.771	0.903
DDB1	IKZF1	9606.ENSP00000301764	9606.ENSP00000331614	0	0	0	0	0	0.853	0	0.645	0.945
DDB1	DCAF11	9606.ENSP00000301764	9606.ENSP00000415556	0	0	0	0	0.072	0.884	0.900	0.997	0.999
DESI1	PSMC3	9606.ENSP00000263256	9606.ENSP00000481029	0	0	0	0	0.066	0.994	0	0	0.994
DESI1	PSMB3	9606.ENSP00000263256	9606.ENSP00000483688	0	0	0	0	0.067	0.994	0	0	0.994
DIAPH1	RHOD	9606.ENSP00000373706	9606.ENSP00000308576	0	0	0	0	0.074	0.715	0.500	0.705	0.955
DIMT1	RRP7A	9606.ENSP00000199320	9606.ENSP00000321449	0	0	0	0	0.393	0.896	0	0	0.934
DIMT1	UTP6	9606.ENSP00000199320	9606.ENSP00000261708	0	0	0	0	0.705	0.908	0	0	0.971
